Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
42	936	136	M40-44	40-44	187.32	Y	NY
23	1166	7	F20-24	20-24	191.45	Y	VA
38	2036	333	M35-39	35-39	204.05	N	DOM
41	2452	334	M40-44	40-44	208.02	N	NY
27	1114	40	F25-29	25-29	190.47	Y	NY
31	2081	371	M30-34	30-34	204.57	N	NY
28	224	9	F25-29	25-29	168.58	Y	NJ
32	932	34	F30-34	30-34	187.18	Y	NY
25	2053	95	F25-29	25-29	204.33	Y	NC
47	967	82	M45-49	45-49	188.02	Y	NY
30	1888	74	F30-34	30-34	202.33	Y	WA
25	43	14	M25-29	25-29	150.4	Y	AR
45	1803	171	M45-49	45-49	201.42	N	NY
41	979	140	M40-44	40-44	188.18	Y	NY
35	530	104	M35-39	35-39	178.48	Y	CA
31	556	135	M30-34	30-34	178.92	Y	CA
33	940	195	M30-34	30-34	187.4	N	CHE
37	52	3	F35-39	35-39	152.9	Y	CAN
30	2246	97	F30-34	30-34	206.1	Y	NY
36	2014	330	M35-39	35-39	203.92	N	NY
36	947	170	M35-39	35-39	187.63	N	DOM
29	2259	111	F25-29	25-29	206.27	Y	NY
53	1164	55	M50-54	50-54	191.32	Y	IRL
47	2271	212	M45-49	45-49	206.4	N	OR
44	1168	174	M40-44	40-44	191.47	N	TX
61	2420	15	M60-64	60-64	207.82	Y	DEU
37	2405	383	M35-39	35-39	207.7	N	UKR
45	1423	133	M45-49	45-49	196.23	Y	CO
33	298	79	M30-34	30-34	171.8	Y	ARG
32	2087	373	M30-34	30-34	204.65	N	FRA
56	1505	26	M55-59	55-59	197.53	Y	CHN
47	2432	224	M45-49	45-49	207.9	N	CT
36	2040	334	M35-39	35-39	204.13	N	GTM
29	50	17	M25-29	25-29	152.3	Y	CA
48	958	5	F45-49	45-49	187.82	Y	NJ
35	252	49	M35-39	35-39	169.72	Y	FRA
49	244	14	M45-49	45-49	169.43	Y	PA
32	5	2	M30-34	30-34	131.65	Y	NLD
32	2245	96	F30-34	30-34	206.08	Y	NC
36	238	47	M35-39	35-39	169.38	Y	GBR
38	281	57	M35-39	35-39	170.78	Y	CA
37	1835	53	F35-39	35-39	201.82	Y	IL
37	1560	41	F35-39	35-39	198.43	Y	NY
35	1441	244	M35-39	35-39	196.53	N	NY
28	65	21	M25-29	25-29	155.23	Y	NC
48	1510	140	M45-49	45-49	197.6	Y	NJ
39	543	107	M35-39	35-39	178.67	Y	GBR
26	2449	356	M25-29	25-29	208	N	NY
34	1437	283	M30-34	30-34	196.5	N	NY
47	574	43	M45-49	45-49	179.12	Y	NY
43	512	61	M40-44	40-44	177.97	Y	NY
30	2216	386	M30-34	30-34	205.88	N	PA
36	77	12	M35-39	35-39	156.92	Y	NY
35	575	16	F35-39	35-39	179.12	Y	NY
27	1827	266	M25-29	25-29	201.72	N	AZ
24	1564	15	F20-24	20-24	198.48	Y	NY
44	904	127	M40-44	40-44	186.62	Y	UT
28	1436	220	M25-29	25-29	196.5	N	CT
29	2250	333	M25-29	25-29	206.18	N	ESP
29	589	105	M25-29	25-29	179.33	Y	GBR
40	1133	168	M40-44	40-44	190.85	N	MEX
27	1	1	M25-29	25-29	128.37	Y	KEN
57	578	7	M55-59	55-59	179.2	Y	MEX
27	2095	307	M25-29	25-29	204.68	N	DEU
36	58	8	M35-39	35-39	153.55	Y	CA
29	227	48	M25-29	25-29	168.83	Y	CO
44	231	17	M40-44	40-44	169.13	Y	CAN
36	910	161	M35-39	35-39	186.73	N	SC
25	502	19	F25-29	25-29	177.8	Y	NJ
41	548	66	M40-44	40-44	178.77	Y	VA
40	2227	310	M40-44	40-44	205.97	N	VEN
24	554	4	F20-24	20-24	178.85	Y	MA
28	1862	81	F25-29	25-29	202.08	Y	CAN
52	2263	126	M50-54	50-54	206.3	N	ARG
37	2007	64	F35-39	35-39	203.83	Y	NY
23	545	3	F20-24	20-24	178.72	Y	NY
56	2073	49	M55-59	55-59	204.5	Y	CA
48	1482	137	M45-49	45-49	197.25	Y	NY
30	94	5	F30-34	30-34	158.9	Y	AZ
40	561	69	M40-44	40-44	178.97	Y	NY
25	215	8	F25-29	25-29	168.07	Y	NY
30	1424	281	M30-34	30-34	196.25	N	NY
47	1851	176	M45-49	45-49	201.97	N	PER
20	2406	62	M20-24	20-24	207.72	N	NY
37	1848	305	M35-39	35-39	201.95	N	NY
26	1573	238	M25-29	25-29	198.62	N	AUT
40	1140	169	M40-44	40-44	190.93	N	IRL
30	235	66	M30-34	30-34	169.33	Y	NY
37	968	176	M35-39	35-39	188.02	N	EGY
30	24	2	F30-34	30-34	142.87	Y	ETH
35	84	15	M35-39	35-39	157.68	Y	DC
27	1818	265	M25-29	25-29	201.63	N	NY
37	2409	384	M35-39	35-39	207.73	N	NY
41	1890	43	F40-44	40-44	202.4	Y	CRI
